"frame","time_ms","z","hand"
26094,521880,-1276.85,"right"
26095,521900,-1275.64,"right"
26096,521920,-1275.58,"right"
26097,521940,-1276.83,"right"
26098,521960,-1274.49,"right"
26099,521980,-1274.93,"right"
26100,522000,-1275.83,"right"
26101,522020,-1273.85,"right"
26102,522040,-1272.52,"right"
26103,522060,-1272.56,"right"
26104,522080,-1271.36,"right"
26105,522100,-1270.23,"right"
26106,522120,-1270.19,"right"
26107,522140,-1270.34,"right"
26108,522160,-1272.65,"right"
26109,522180,-1271.42,"right"
26110,522200,-1273.81,"right"
26111,522220,-1273.87,"right"
26112,522240,-1273.9,"right"
26113,522260,-1270.25,"right"
26114,522280,-1273.84,"right"
26115,522300,-1273.9,"right"
26116,522320,-1273.9,"right"
26117,522340,-1272.58,"right"
26118,522360,-1271.4,"right"
26119,522380,-1270.17,"right"
26120,522400,-1272.05,"right"
26121,522420,-1272.08,"right"
26122,522440,-1273.23,"right"
26123,522460,-1273.22,"right"
26124,522480,-1273.23,"right"
26125,522500,-1273.19,"right"
26126,522520,-1277.49,"right"
26127,522540,-1272.05,"right"
26128,522560,-1277.56,"right"
26129,522580,-1273.52,"right"
26130,522600,-1273.54,"right"
26131,522620,-1272.26,"right"
26132,522640,-1272.25,"right"
26133,522660,-1272.29,"right"
26134,522680,-1271.07,"right"
26135,522700,-1272.27,"right"
26136,522720,-1272.29,"right"
26137,522740,-1273.24,"right"
26138,522760,-1272.05,"right"
26139,522780,-1271.04,"right"
26140,522800,-1270.85,"right"
26141,522820,-1270.86,"right"
26142,522840,-1272.05,"right"
26143,522860,-1272.01,"right"
26144,522880,-1271.96,"right"
26145,522900,-1272.01,"right"
26146,522920,-1270.81,"right"
26147,522940,-1270.82,"right"
26148,522960,-1268.45,"right"
26149,522980,-1269.58,"right"
26150,523000,-1268.51,"right"
26151,523020,-1269.46,"right"
26152,523040,-1269.65,"right"
26153,523060,-1269.49,"right"
26154,523080,-1269.46,"right"
26155,523100,-1269.43,"right"
26156,523120,-1270.61,"right"
26157,523140,-1269.38,"right"
26158,523160,-1271.89,"right"
26159,523180,-1270.63,"right"
26160,523200,-1271.91,"right"
26161,523220,-1271.83,"right"
26162,523240,-1271.91,"right"
26163,523260,-1270.65,"right"
26164,523280,-1270.64,"right"
26165,523300,-1270.63,"right"
26166,523320,-1269.46,"right"
26167,523340,-1270.61,"right"
26168,523360,-1271.84,"right"
26169,523380,-1271.87,"right"
26170,523400,-1271.92,"right"
26171,523420,-1271.86,"right"
26172,523440,-1270.76,"right"
26173,523460,-1270.66,"right"
26174,523480,-1271.89,"right"
26175,523500,-1271.82,"right"
26176,523520,-1270.71,"right"
26177,523540,-1270.69,"right"
26178,523560,-1270.79,"right"
26179,523580,-1270.76,"right"
26180,523600,-1270.72,"right"
26181,523620,-1269.56,"right"
26182,523640,-1270.74,"right"
26183,523660,-1270.8,"right"
26184,523680,-1270.78,"right"
26185,523700,-1270.71,"right"
26186,523720,-1270.8,"right"
26187,523740,-1270.66,"right"
26188,523760,-1270.78,"right"
26189,523780,-1270.69,"right"
26190,523800,-1270.81,"right"
26191,523820,-1271.92,"right"
26192,523840,-1271.9,"right"
26193,523860,-1270.69,"right"
26194,523880,-1271.95,"right"
26195,523900,-1271.91,"right"
26196,523920,-1271.97,"right"
26197,523940,-1270.71,"right"
26198,523960,-1271.95,"right"
26199,523980,-1270.65,"right"
26200,524000,-1271.84,"right"
26201,524020,-1270.5,"right"
26202,524040,-1273.19,"right"
26203,524060,-1271.93,"right"
26204,524080,-1273.28,"right"
26205,524100,-1271.86,"right"
26206,524120,-1271.91,"right"
26207,524140,-1271.82,"right"
26208,524160,-1271.86,"right"
26209,524180,-1271.86,"right"
26210,524200,-1271.95,"right"
26211,524220,-1270.63,"right"
26212,524240,-1270.73,"right"
26213,524260,-1271.84,"right"
26214,524280,-1270.66,"right"
26215,524300,-1270.64,"right"
26216,524320,-1270.65,"right"
26217,524340,-1271.77,"right"
26218,524360,-1271.76,"right"
26219,524380,-1273.02,"right"
26220,524400,-1271.81,"right"
26221,524420,-1271.82,"right"
26222,524440,-1270.67,"right"
26223,524460,-1270.66,"right"
26224,524480,-1270.66,"right"
26225,524500,-1270.71,"right"
26226,524520,-1270.71,"right"
26227,524540,-1270.68,"right"
26228,524560,-1270.66,"right"
26229,524580,-1270.82,"right"
26230,524600,-1270.8,"right"
26231,524620,-1272.01,"right"
26232,524640,-1270.82,"right"
26233,524660,-1270.78,"right"
26234,524680,-1271.93,"right"
26235,524700,-1271.92,"right"
26236,524720,-1270.76,"right"
26237,524740,-1271.95,"right"
26238,524760,-1271.88,"right"
26239,524780,-1271.9,"right"
26240,524800,-1270.59,"right"
26241,524820,-1272.05,"right"
26242,524840,-1271.78,"right"
26243,524860,-1271.26,"right"
26244,524880,-1272.03,"right"
26245,524900,-1270.87,"right"
26246,524920,-1273.4,"right"
26247,524940,-1273.37,"right"
