"frame","time_ms","z","hand"
21131,422620,-663.232,"right"
21132,422640,-662.042,"right"
21133,422660,-668.747,"right"
21134,422680,-666.383,"right"
21135,422700,-666.096,"right"
21136,422720,-675.965,"right"
21137,422740,-675.789,"right"
21138,422760,-680.971,"right"
21139,422780,-672.421,"right"
21140,422800,-678.156,"right"
21141,422820,-678.266,"right"
21142,422840,-677.031,"right"
21143,422860,-676.716,"right"
21144,422880,-674.594,"right"
21145,422900,-668.476,"right"
21146,422920,-668.34,"right"
21147,422940,-670.85,"right"
21148,422960,-670.748,"right"
21149,422980,-670.836,"right"
21150,423000,-673.599,"right"
21151,423020,-668.827,"right"
21152,423040,-670.423,"right"
21153,423060,-670.087,"right"
21154,423080,-672.923,"right"
21155,423100,-672.932,"right"
21156,423120,-674.146,"right"
21157,423140,-672.837,"right"
21158,423160,-680.275,"right"
21159,423180,-675.685,"right"
21160,423200,-680.25,"right"
21161,423220,-684.092,"right"
21162,423240,-687.814,"right"
21163,423260,-680.042,"right"
21164,423280,-681.359,"right"
21165,423300,-686.341,"right"
21166,423320,-685.517,"right"
21167,423340,-681.736,"right"
21168,423360,-686.328,"right"
21169,423380,-676.63,"right"
21170,423400,-666.174,"right"
21171,423420,-668.811,"right"
21172,423440,-663.235,"right"
21173,423460,-641.834,"right"
21174,423480,-637.176,"right"
21175,423500,-635.278,"right"
21176,423520,-625.029,"right"
21177,423540,-615.567,"right"
21178,423560,-609.16,"right"
21179,423580,-599.308,"right"
21180,423600,-586.831,"right"
21181,423620,-577.193,"right"
21182,423640,-564.428,"right"
21183,423660,-549.987,"right"
21184,423680,-539.789,"right"
21185,423700,-533.83,"right"
21186,423720,-532.148,"right"
21187,423740,-548.884,"right"
21188,423760,-597.629,"right"
21189,423780,-753.601,"right"
21190,423800,-875.084,"right"
21191,423820,-1053.16,"right"
21192,423840,-1220.24,"right"
21193,423860,-1112.36,"right"
21194,423880,-1215.19,"right"
21195,423900,-1227.58,"right"
21196,423920,-1255.08,"right"
21197,423940,-1211.41,"right"
21198,423960,-1024.94,"right"
21199,423980,-1085,"right"
21200,424000,-959.638,"right"
21201,424020,-921.38,"right"
21202,424040,-853.517,"right"
21203,424060,-827.218,"right"
21204,424080,-785.252,"right"
21205,424100,-765.786,"right"
21206,424120,-711.354,"right"
21207,424140,-697.068,"right"
21208,424160,-691.891,"right"
21209,424180,-693.265,"right"
21210,424200,-688.641,"right"
21211,424220,-690.195,"right"
21212,424240,-690.947,"right"
21213,424260,-690.512,"right"
21214,424280,-690.344,"right"
21215,424300,-690.929,"right"
21216,424320,-688.801,"right"
21217,424340,-691.893,"right"
21218,424360,-688.834,"right"
21219,424380,-689.556,"right"
21220,424400,-689.204,"right"
21221,424420,-689.315,"right"
21222,424440,-689.257,"right"
21223,424460,-692.452,"right"
21224,424480,-690.579,"right"
21225,424500,-691.81,"right"
21226,424520,-691.416,"right"
21227,424540,-691.68,"right"
21228,424560,-692.656,"right"
21229,424580,-696.011,"right"
21230,424600,-693.479,"right"
21231,424620,-693.659,"right"
21232,424640,-696.971,"right"
21233,424660,-698.463,"right"
21234,424680,-700.958,"right"
21235,424700,-698.501,"right"
21236,424720,-698.47,"right"
21237,424740,-698.784,"right"
21238,424760,-698.613,"right"
21239,424780,-698.727,"right"
21240,424800,-698.493,"right"
21241,424820,-699.844,"right"
21242,424840,-699.855,"right"
21243,424860,-699.925,"right"
21244,424880,-701.123,"right"
21245,424900,-703.07,"right"
21246,424920,-700.276,"right"
21247,424940,-705.824,"right"
21248,424960,-704.578,"right"
21249,424980,-704.79,"right"
21250,425000,-702.633,"right"
21251,425020,-700.038,"right"
21252,425040,-706.235,"right"
21253,425060,-704.713,"right"
21254,425080,-703.816,"right"
21255,425100,-702.559,"right"
21256,425120,-703.334,"right"
21257,425140,-702.674,"right"
21258,425160,-704.153,"right"
21259,425180,-702.893,"right"
21260,425200,-702.886,"right"
21261,425220,-700.971,"right"
21262,425240,-697.156,"right"
21263,425260,-700.567,"right"
21264,425280,-698.406,"right"
21265,425300,-700.643,"right"
21266,425320,-701.951,"right"
21267,425340,-702.416,"right"
21268,425360,-704.095,"right"
21269,425380,-703.766,"right"
21270,425400,-703.775,"right"
21271,425420,-703.992,"right"
21272,425440,-703.953,"right"
21273,425460,-702.778,"right"
21274,425480,-702.372,"right"
21275,425500,-701.005,"right"
21276,425520,-702.177,"right"
21277,425540,-701.159,"right"
21278,425560,-703.082,"right"
21279,425580,-702.005,"right"
21280,425600,-703.605,"right"
21281,425620,-703.17,"right"
21282,425640,-702.444,"right"
21283,425660,-702.368,"right"
21284,425680,-702.483,"right"
