"frame","time_ms","z","hand"
29017,580340,-1267.18,"right"
29018,580360,-1266.01,"right"
29019,580380,-1268.34,"right"
29020,580400,-1265.92,"right"
29021,580420,-1265.97,"right"
29022,580440,-1264.7,"right"
29023,580460,-1264.82,"right"
29024,580480,-1264.76,"right"
29025,580500,-1265.93,"right"
29026,580520,-1264.75,"right"
29027,580540,-1264.72,"right"
29028,580560,-1263.56,"right"
29029,580580,-1263.54,"right"
29030,580600,-1264.79,"right"
29031,580620,-1264.78,"right"
29032,580640,-1263.55,"right"
29033,580660,-1262.41,"right"
29034,580680,-1263.69,"right"
29035,580700,-1263.6,"right"
29036,580720,-1262.37,"right"
29037,580740,-1262.31,"right"
29038,580760,-1262.33,"right"
29039,580780,-1262.38,"right"
29040,580800,-1261.07,"right"
29041,580820,-1262.39,"right"
29042,580840,-1262.32,"right"
29043,580860,-1263.52,"right"
29044,580880,-1263.43,"right"
29045,580900,-1263.5,"right"
29046,580920,-1263.46,"right"
29047,580940,-1263.6,"right"
29048,580960,-1263.55,"right"
29049,580980,-1262.46,"right"
29050,581000,-1262.24,"right"
29051,581020,-1262.4,"right"
29052,581040,-1261.25,"right"
29053,581060,-1262.37,"right"
29054,581080,-1262.42,"right"
29055,581100,-1262.41,"right"
29056,581120,-1262.4,"right"
29057,581140,-1262.74,"right"
29058,581160,-1261.14,"right"
29059,581180,-1262.35,"right"
29060,581200,-1261.14,"right"
29061,581220,-1262.4,"right"
29062,581240,-1261.09,"right"
29063,581260,-1262.39,"right"
29064,581280,-1262.36,"right"
29065,581300,-1262.34,"right"
29066,581320,-1262.4,"right"
29067,581340,-1262.36,"right"
29068,581360,-1262.43,"right"
29069,581380,-1262.37,"right"
29070,581400,-1261.25,"right"
29071,581420,-1261.21,"right"
29072,581440,-1261.23,"right"
29073,581460,-1262.46,"right"
29074,581480,-1262.37,"right"
29075,581500,-1263.59,"right"
29076,581520,-1262.37,"right"
29077,581540,-1262.41,"right"
29078,581560,-1263.59,"right"
29079,581580,-1262.46,"right"
29080,581600,-1262.39,"right"
29081,581620,-1262.36,"right"
29082,581640,-1264.78,"right"
29083,581660,-1264.76,"right"
29084,581680,-1267.05,"right"
29085,581700,-1265.87,"right"
29086,581720,-1265.83,"right"
29087,581740,-1265.88,"right"
29088,581760,-1265.81,"right"
29089,581780,-1265.85,"right"
29090,581800,-1264.65,"right"
29091,581820,-1263.57,"right"
29092,581840,-1265.83,"right"
29093,581860,-1263.6,"right"
29094,581880,-1264.63,"right"
29095,581900,-1263.54,"right"
29096,581920,-1267.04,"right"
29097,581940,-1264.67,"right"
29098,581960,-1264.66,"right"
29099,581980,-1264.8,"right"
29100,582000,-1266.81,"right"
29101,582020,-1262.14,"right"
29102,582040,-1262.23,"right"
29103,582060,-1262.27,"right"
29104,582080,-1263.45,"right"
29105,582100,-1263.51,"right"
29106,582120,-1262.3,"right"
29107,582140,-1267.09,"right"
29108,582160,-1264.78,"right"
29109,582180,-1262.45,"right"
29110,582200,-1263.58,"right"
29111,582220,-1265.95,"right"
29112,582240,-1264.79,"right"
29113,582260,-1265.93,"right"
29114,582280,-1266.05,"right"
29115,582300,-1265.95,"right"
29116,582320,-1266.08,"right"
29117,582340,-1263.72,"right"
29118,582360,-1263.69,"right"
29119,582380,-1267.72,"right"
29120,582400,-1264.87,"right"
29121,582420,-1266.5,"right"
29122,582440,-1266,"right"
29123,582460,-1262.39,"right"
29124,582480,-1263.6,"right"
29125,582500,-1264.84,"right"
29126,582520,-1263.6,"right"
29127,582540,-1263.61,"right"
29128,582560,-1263.57,"right"
29129,582580,-1264.68,"right"
29130,582600,-1264.74,"right"
29131,582620,-1264.65,"right"
29132,582640,-1264.69,"right"
29133,582660,-1264.72,"right"
29134,582680,-1264.76,"right"
29135,582700,-1265.98,"right"
29136,582720,-1265.95,"right"
29137,582740,-1264.81,"right"
29138,582760,-1263.58,"right"
29139,582780,-1266.03,"right"
29140,582800,-1263.65,"right"
29141,582820,-1264.82,"right"
29142,582840,-1263.63,"right"
29143,582860,-1265.95,"right"
29144,582880,-1264.74,"right"
29145,582900,-1263.56,"right"
29146,582920,-1262.33,"right"
29147,582940,-1263.51,"right"
29148,582960,-1262.25,"right"
29149,582980,-1262.27,"right"
29150,583000,-1261.17,"right"
29151,583020,-1264.65,"right"
29152,583040,-1261.15,"right"
29153,583060,-1262.35,"right"
29154,583080,-1262.36,"right"
29155,583100,-1262.38,"right"
29156,583120,-1262.38,"right"
29157,583140,-1263.53,"right"
29158,583160,-1262.37,"right"
29159,583180,-1262.32,"right"
29160,583200,-1262.4,"right"
29161,583220,-1262.39,"right"
29162,583240,-1262.36,"right"
29163,583260,-1262.32,"right"
29164,583280,-1262.39,"right"
29165,583300,-1262.36,"right"
29166,583320,-1263.56,"right"
29167,583340,-1262.3,"right"
29168,583360,-1262.35,"right"
29169,583380,-1263.6,"right"
29170,583400,-1262.37,"right"
