"frame","time_ms","z","hand"
2309,46180,-1432.02,"right"
2310,46200,-1431.77,"right"
2311,46220,-1432.22,"right"
2312,46240,-1432.56,"right"
2313,46260,-1432.31,"right"
2314,46280,-1432.3,"right"
2315,46300,-1432.34,"right"
2316,46320,-1432.39,"right"
2317,46340,-1432.4,"right"
2318,46360,-1432.27,"right"
2319,46380,-1432.03,"right"
2320,46400,-1432.04,"right"
2321,46420,-1432.08,"right"
2322,46440,-1432.09,"right"
2323,46460,-1432.12,"right"
2324,46480,-1432.08,"right"
2325,46500,-1431.87,"right"
2326,46520,-1432.11,"right"
2327,46540,-1431.94,"right"
2328,46560,-1431.3,"right"
2329,46580,-1431.13,"right"
2330,46600,-1431.96,"right"
2331,46620,-1431.02,"right"
2332,46640,-1431.04,"right"
2333,46660,-1431.06,"right"
2334,46680,-1431.24,"right"
2335,46700,-1431.21,"right"
2336,46720,-1431.13,"right"
2337,46740,-1432.59,"right"
2338,46760,-1431.04,"right"
2339,46780,-1432.38,"right"
2340,46800,-1431.79,"right"
2341,46820,-1431.89,"right"
2342,46840,-1431.03,"right"
2343,46860,-1431.41,"right"
2344,46880,-1432.04,"right"
2345,46900,-1431.41,"right"
2346,46920,-1431.91,"right"
2347,46940,-1432.42,"right"
2348,46960,-1431.37,"right"
2349,46980,-1431.84,"right"
2350,47000,-1431.31,"right"
2351,47020,-1431.19,"right"
2352,47040,-1430.45,"right"
2353,47060,-1431.04,"right"
2354,47080,-1430.43,"right"
2355,47100,-1430.96,"right"
2356,47120,-1430.32,"right"
2357,47140,-1430.94,"right"
2358,47160,-1430.9,"right"
2359,47180,-1430.92,"right"
2360,47200,-1430.84,"right"
2361,47220,-1432,"right"
2362,47240,-1430.81,"right"
2363,47260,-1430.71,"right"
2364,47280,-1430.9,"right"
2365,47300,-1431.19,"right"
2366,47320,-1430.9,"right"
2367,47340,-1430.87,"right"
2368,47360,-1431.04,"right"
2369,47380,-1432.18,"right"
2370,47400,-1431.05,"right"
2371,47420,-1432.06,"right"
2372,47440,-1432.01,"right"
2373,47460,-1430.9,"right"
2374,47480,-1430.27,"right"
2375,47500,-1431.81,"right"
2376,47520,-1430.2,"right"
2377,47540,-1431.33,"right"
2378,47560,-1431.31,"right"
2379,47580,-1430.18,"right"
2380,47600,-1430.14,"right"
2381,47620,-1430.23,"right"
2382,47640,-1428.96,"right"
2383,47660,-1430.1,"right"
2384,47680,-1428.88,"right"
2385,47700,-1428.93,"right"
2386,47720,-1428.95,"right"
2387,47740,-1430.77,"right"
2388,47760,-1429.83,"right"
2389,47780,-1429.81,"right"
2390,47800,-1430.97,"right"
2391,47820,-1430.83,"right"
2392,47840,-1429.74,"right"
2393,47860,-1430.77,"right"
2394,47880,-1429.73,"right"
2395,47900,-1429.67,"right"
2396,47920,-1429.62,"right"
2397,47940,-1429.26,"right"
2398,47960,-1429.51,"right"
2399,47980,-1427.54,"right"
2400,48000,-1428.39,"right"
2401,48020,-1428.26,"right"
2402,48040,-1427.01,"right"
2403,48060,-1426.45,"right"
2404,48080,-1426.92,"right"
2405,48100,-1429.2,"right"
2406,48120,-1429.22,"right"
2407,48140,-1428.06,"right"
2408,48160,-1428.16,"right"
2409,48180,-1426.95,"right"
2410,48200,-1426.97,"right"
2411,48220,-1426.93,"right"
2412,48240,-1425.7,"right"
2413,48260,-1427.2,"right"
2414,48280,-1427.24,"right"
2415,48300,-1427.23,"right"
2416,48320,-1426.26,"right"
2417,48340,-1426.35,"right"
2418,48360,-1426.94,"right"
2419,48380,-1426.35,"right"
2420,48400,-1427.04,"right"
2421,48420,-1427.08,"right"
2422,48440,-1427.07,"right"
2423,48460,-1426.5,"right"
2424,48480,-1427.11,"right"
2425,48500,-1425.2,"right"
2426,48520,-1425.93,"right"
2427,48540,-1425.23,"right"
2428,48560,-1427.01,"right"
2429,48580,-1426.33,"right"
2430,48600,-1426.94,"right"
2431,48620,-1427.22,"right"
2432,48640,-1426.46,"right"
2433,48660,-1426.4,"right"
2434,48680,-1427.67,"right"
2435,48700,-1426.67,"right"
2436,48720,-1426.57,"right"
2437,48740,-1428.28,"right"
2438,48760,-1429.56,"right"
2439,48780,-1429.58,"right"
2440,48800,-1429.61,"right"
2441,48820,-1429.61,"right"
2442,48840,-1429.55,"right"
2443,48860,-1429.54,"right"
2444,48880,-1429.56,"right"
2445,48900,-1429.62,"right"
2446,48920,-1429.55,"right"
2447,48940,-1427.91,"right"
2448,48960,-1429.66,"right"
2449,48980,-1429.63,"right"
2450,49000,-1430.55,"right"
2451,49020,-1429.13,"right"
2452,49040,-1429.1,"right"
2453,49060,-1429.32,"right"
2454,49080,-1429.18,"right"
2455,49100,-1429.15,"right"
2456,49120,-1429.07,"right"
2457,49140,-1428.98,"right"
2458,49160,-1429.07,"right"
2459,49180,-1427.86,"right"
2460,49200,-1429.11,"right"
2461,49220,-1430.19,"right"
2462,49240,-1429.1,"right"
2463,49260,-1430.25,"right"
2464,49280,-1430.13,"right"
2465,49300,-1431.88,"right"
2466,49320,-1430.85,"right"
2467,49340,-1430.68,"right"
2468,49360,-1430.68,"right"
2469,49380,-1429.91,"right"
2470,49400,-1430.77,"right"
2471,49420,-1430.77,"right"
2472,49440,-1431,"right"
2473,49460,-1430.85,"right"
2474,49480,-1430.95,"right"
2475,49500,-1430.8,"right"
2476,49520,-1430.21,"right"
2477,49540,-1431.42,"right"
2478,49560,-1430.25,"right"
2479,49580,-1430.99,"right"
2480,49600,-1430.92,"right"
2481,49620,-1430.98,"right"
2482,49640,-1430.85,"right"
2483,49660,-1430.9,"right"
2484,49680,-1430.82,"right"
2485,49700,-1430.7,"right"
2486,49720,-1431.1,"right"
2487,49740,-1430.74,"right"
2488,49760,-1430.82,"right"
2489,49780,-1431.03,"right"
2490,49800,-1430.9,"right"
2491,49820,-1431.12,"right"
2492,49840,-1431.13,"right"
2493,49860,-1431.14,"right"
2494,49880,-1431.11,"right"
2495,49900,-1432.36,"right"
2496,49920,-1432.3,"right"
2497,49940,-1432.36,"right"
2498,49960,-1432.27,"right"
2499,49980,-1432.57,"right"
2500,50000,-1432.2,"right"
2501,50020,-1431.64,"right"
2502,50040,-1432.09,"right"
2503,50060,-1432.08,"right"
2504,50080,-1431.92,"right"
2505,50100,-1432.05,"right"
2506,50120,-1433.13,"right"
2507,50140,-1432.26,"right"
2508,50160,-1433.33,"right"
2509,50180,-1433.03,"right"
2510,50200,-1433.31,"right"
2511,50220,-1433.08,"right"
2512,50240,-1433.83,"right"
2513,50260,-1433.74,"right"
2514,50280,-1433.62,"right"
2515,50300,-1433.67,"right"
2516,50320,-1433.56,"right"
2517,50340,-1433.57,"right"
2518,50360,-1434.8,"right"
2519,50380,-1434.65,"right"
2520,50400,-1435.61,"right"
2521,50420,-1434.79,"right"
2522,50440,-1434.99,"right"
2523,50460,-1434.53,"right"
2524,50480,-1434.48,"right"
2525,50500,-1434.97,"right"
2526,50520,-1434.71,"right"
2527,50540,-1434.76,"right"
2528,50560,-1434.77,"right"
2529,50580,-1434.74,"right"
2530,50600,-1434.68,"right"
2531,50620,-1434.64,"right"
2532,50640,-1434.71,"right"
2533,50660,-1434.74,"right"
2534,50680,-1434.78,"right"
2535,50700,-1434.73,"right"
2536,50720,-1434.69,"right"
2537,50740,-1433.62,"right"
2538,50760,-1433.51,"right"
2539,50780,-1433.56,"right"
2540,50800,-1433.63,"right"
2541,50820,-1433.58,"right"
2542,50840,-1433.59,"right"
2543,50860,-1433.5,"right"
2544,50880,-1433.46,"right"
2545,50900,-1433.42,"right"
2546,50920,-1433.3,"right"
2547,50940,-1433.7,"right"
2548,50960,-1434.02,"right"
2549,50980,-1433.81,"right"
2550,51000,-1432.75,"right"
2551,51020,-1433.48,"right"
2552,51040,-1433.56,"right"
